epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3327.78,0.60758,1.033,1.30402,0.98355,0,0.98379,0.5,0.83342,0.76435,0.98379,0.5,0.83368,0.72673,0.53415,0.64465,2.47404,0.92102,0,0.00054784,0.00054784,0.00054784
2,5936.61,0.54829,0.73552,0.70376,0.94354,0,0.94123,0.98476,0.98265,0.85157,0.94123,0.98476,0.98265,0.85856,0.55693,0.55103,0.87003,0.97094,0,0.00109258,0.00109258,0.00109258
3,8542.3,0.5503,0.66917,0.60991,0.94092,0,0.94488,0.99085,0.9904,0.91439,0.94229,1,0.9904,0.90215,0.44761,0.56883,0.60178,0.92024,0,0.00162632,0.00162632,0.00162632
4,11148.4,0.53922,0.66403,0.55258,0.94606,0,0.96068,0.96648,0.98559,0.91273,0.96068,0.96648,0.98527,0.88529,0.42783,0.54602,0.75276,0.87966,0,0.00161749,0.00161749,0.00161749
5,13752.6,0.52503,0.63123,0.50245,0.92914,0,0.93627,0.98392,0.98804,0.88141,0.93627,0.98392,0.98647,0.89169,0.48997,0.535,0.64762,0.90598,0,0.00160099,0.00160099,0.00160099
6,16353.7,0.50829,0.64884,0.47989,0.9261,0,0.95346,0.97316,0.98737,0.90746,0.95346,0.97316,0.98737,0.88196,0.42705,0.58725,0.45521,0.87634,0,0.00158448,0.00158448,0.00158448
7,18954.4,0.4838,0.62312,0.43055,0.91702,0,0.97254,0.9878,0.98406,0.8992,0.97254,0.9878,0.98353,0.90094,0.46235,0.48934,0.41872,0.89365,0,0.00156798,0.00156798,0.00156798
8,21563.4,0.46508,0.60656,0.40751,0.90667,0,0.97622,0.9878,0.98651,0.92683,0.97622,0.9878,0.98651,0.90333,0.39184,0.47817,0.39016,0.86631,0,0.00155148,0.00155148,0.00155148
9,24165.8,0.45626,0.58074,0.39494,0.90125,0,0.97832,0.97256,0.98966,0.92283,0.97832,0.97256,0.98966,0.9166,0.42396,0.45265,0.36194,0.87616,0,0.00153497,0.00153497,0.00153497
10,26768,0.44864,0.55558,0.37699,0.89832,0,0.96295,0.98197,0.98597,0.93893,0.96295,0.98197,0.98597,0.90973,0.34107,0.46435,0.3504,0.83734,0,0.00151847,0.00151847,0.00151847
11,29375.8,0.44777,0.53107,0.36793,0.90195,0,0.97076,0.9878,0.98757,0.92857,0.97076,0.9878,0.98757,0.91489,0.41407,0.44303,0.33963,0.89206,0,0.00150197,0.00150197,0.00150197
12,31979.5,0.44551,0.53343,0.35573,0.8993,0,0.96805,0.97796,0.98948,0.93428,0.96805,0.97796,0.98856,0.90708,0.36141,0.49626,0.32365,0.84625,0,0.00148546,0.00148546,0.00148546
13,34583,0.42047,0.53784,0.33979,0.89449,0,0.97296,0.98054,0.99279,0.937,0.97296,0.98054,0.99279,0.92454,0.38481,0.43134,0.34192,0.86108,0,0.00146896,0.00146896,0.00146896
14,37186.7,0.42643,0.52589,0.33931,0.89383,0,0.97073,0.94666,0.98393,0.87614,0.97073,0.94666,0.98393,0.813,0.45551,0.88016,0.45108,0.89714,0,0.00145246,0.00145246,0.00145246
15,39792.6,0.42212,0.53551,0.34024,0.88959,0,0.97997,0.9878,0.99267,0.9258,0.97997,0.9878,0.99267,0.92602,0.35491,0.43016,0.28622,0.84467,0,0.00143595,0.00143595,0.00143595
16,42398.8,0.41564,0.5188,0.32193,0.89018,0,0.98063,0.98402,0.99189,0.9262,0.98063,0.98402,0.99189,0.92718,0.38642,0.4171,0.27925,0.84573,0,0.00141945,0.00141945,0.00141945
17,45004,0.40886,0.52253,0.32054,0.88887,0,0.98461,0.97229,0.98838,0.94116,0.98461,0.97229,0.98838,0.92378,0.32555,0.45141,0.30544,0.82873,0,0.00140295,0.00140295,0.00140295
18,47609.8,0.3998,0.51031,0.3106,0.88589,0,0.98506,0.98134,0.99387,0.94308,0.98506,0.98134,0.99387,0.92704,0.32271,0.41977,0.26328,0.83285,0,0.00138644,0.00138644,0.00138644
19,50218.4,0.4077,0.50255,0.3144,0.88614,0,0.97971,0.98476,0.99313,0.95216,0.97971,0.98476,0.99313,0.93349,0.297,0.39382,0.24016,0.81923,0,0.00136994,0.00136994,0.00136994
20,52826.8,0.39348,0.50655,0.30329,0.87831,0,0.97931,0.98717,0.98573,0.93482,0.97931,0.98717,0.98573,0.91359,0.33036,0.43372,0.2556,0.82601,0,0.00135344,0.00135344,0.00135344
21,55439.3,0.40078,0.49709,0.30785,0.8869,0,0.97674,0.98171,0.99264,0.94328,0.97674,0.98171,0.99264,0.92628,0.33112,0.39304,0.25363,0.82958,0,0.00133693,0.00133693,0.00133693
22,58052.8,0.39308,0.49191,0.30098,0.87732,0,0.98401,0.9939,0.99098,0.94367,0.98401,0.9939,0.99098,0.92693,0.30165,0.38567,0.24436,0.81865,0,0.00132043,0.00132043,0.00132043
23,60667.7,0.38859,0.49123,0.29755,0.87812,0,0.98675,0.98476,0.9912,0.95245,0.98675,0.98476,0.99126,0.93455,0.30211,0.38237,0.24629,0.82113,0,0.00130393,0.00130393,0.00130393
24,63280.6,0.38768,0.48834,0.2907,0.8756,0,0.97569,0.98475,0.99318,0.96086,0.97569,0.98475,0.99318,0.93585,0.29279,0.40623,0.24144,0.81413,0,0.00128742,0.00128742,0.00128742
25,65884.2,0.37881,0.48384,0.29368,0.87962,0,0.97221,0.99085,0.9885,0.95203,0.97221,0.99085,0.9885,0.93838,0.28167,0.38803,0.22999,0.81931,0,0.00127092,0.00127092,0.00127092
26,68493.3,0.38758,0.48776,0.2945,0.88062,0,0.97091,0.99695,0.98285,0.94329,0.97091,0.99695,0.98285,0.92586,0.32372,0.38809,0.29675,0.83656,0,0.00125442,0.00125442,0.00125442
27,71105,0.37622,0.48135,0.2873,0.87692,0,0.97442,0.9939,0.98856,0.95024,0.97442,0.9939,0.98856,0.93356,0.29644,0.38713,0.22689,0.82039,0,0.00123791,0.00123791,0.00123791
28,73717.8,0.37545,0.48181,0.28463,0.87871,0,0.97333,0.99633,0.98956,0.95481,0.97333,0.99633,0.98956,0.93689,0.31699,0.3921,0.24639,0.82805,0,0.00122141,0.00122141,0.00122141
29,76334.1,0.37242,0.47021,0.28121,0.87856,0,0.97574,0.99085,0.9887,0.94635,0.97574,0.99085,0.9887,0.93185,0.28849,0.40388,0.23754,0.81357,0,0.00120491,0.00120491,0.00120491
30,78948.7,0.37413,0.4813,0.28073,0.87946,0,0.97111,0.99975,0.9843,0.94733,0.97111,0.99975,0.9843,0.9326,0.30594,0.37686,0.24912,0.81819,0,0.0011884,0.0011884,0.0011884
31,81561.9,0.37569,0.48225,0.27366,0.87432,0,0.97051,0.99378,0.98945,0.95324,0.97051,0.99378,0.98945,0.93835,0.28728,0.38578,0.23014,0.81541,0,0.0011719,0.0011719,0.0011719
32,84172.2,0.37084,0.45258,0.27373,0.87072,0,0.98245,0.98171,0.9933,0.95193,0.98245,0.98171,0.9933,0.93804,0.29369,0.38924,0.2396,0.81411,0,0.0011554,0.0011554,0.0011554
33,86783.7,0.37008,0.47516,0.2802,0.8792,0,0.98737,0.97866,0.99291,0.95316,0.98737,0.97866,0.99291,0.94166,0.29606,0.38608,0.23872,0.81943,0,0.00113889,0.00113889,0.00113889
34,89399.5,0.37004,0.46422,0.27381,0.87369,0,0.97539,0.99014,0.98911,0.95497,0.97539,0.99014,0.98911,0.93584,0.31982,0.38685,0.26993,0.83133,0,0.00112239,0.00112239,0.00112239
35,92006.5,0.35012,0.43723,0.26309,0.87054,0,0.9872,0.99059,0.99356,0.95842,0.9872,0.99059,0.99356,0.93873,0.28222,0.38122,0.2023,0.81096,0,0.00110589,0.00110589,0.00110589
