epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1322.13,0.70791,1.27179,1.57937,1.00445,0,0.99293,0.31944,0.62379,0.54222,0.99293,0.31944,0.62379,0.55069,0.83783,0.63887,2.6187,0.98983,0,0.000469005,0.000469005,0.000469005
2,2552.38,0.67991,0.84591,0.84753,0.95441,0,0.86918,0.77083,0.83554,0.61268,0.77436,0.73611,0.76626,0.63978,0.87276,0.52173,1.41964,1.06972,0,0.00093598,0.00093598,0.00093598
3,3766.41,0.67604,0.86152,0.7828,0.95867,0,0.86147,0.86875,0.87419,0.59961,0.77035,0.78013,0.72975,0.55013,0.94889,0.78047,1.10208,1.14856,0,0.00139352,0.00139352,0.00139352
4,4980.24,0.66041,0.7022,0.70914,0.95786,0,0.88418,0.92014,0.92984,0.64135,0.8387,0.87153,0.82782,0.65293,0.82123,0.5438,0.86297,1.02068,0,0.00138656,0.00138656,0.00138656
5,6196.09,0.63461,0.71651,0.63454,0.93513,0,0.88035,0.90625,0.90834,0.52715,0.7709,0.76389,0.7399,0.47941,0.98139,0.43503,1.14206,1.08274,0,0.00137241,0.00137241,0.00137241
6,7410,0.62096,0.67757,0.61871,0.93826,0,0.94847,0.95896,0.95535,0.70639,0.82337,0.83333,0.77413,0.64376,0.65059,0.44277,0.62266,0.91313,0,0.00135826,0.00135826,0.00135826
7,8623.82,0.59034,0.69726,0.55035,0.92141,0,0.94757,0.95486,0.95821,0.73206,0.81118,0.82608,0.76693,0.64519,0.64161,0.42024,0.61183,0.95558,0,0.00134412,0.00134412,0.00134412
8,9834.31,0.5629,0.68104,0.50802,0.90546,0,0.91451,0.94097,0.9115,0.68529,0.90285,0.89931,0.88532,0.67343,0.6686,0.4821,0.75301,0.90719,0,0.00132997,0.00132997,0.00132997
9,11047.4,0.56924,0.64249,0.49317,0.91827,0,0.96524,0.96223,0.97372,0.75782,0.84005,0.84428,0.81757,0.65544,0.56469,0.37613,0.56768,0.89689,0,0.00131582,0.00131582,0.00131582
10,12261.1,0.54597,0.63528,0.46038,0.90599,0,0.9563,0.9642,0.96978,0.73313,0.87849,0.89931,0.86142,0.70226,0.61244,0.40663,0.46977,0.92596,0,0.00130168,0.00130168,0.00130168
